external_ref,farmer_label,amphoe,tambon,current_crop,size_rai,lat,lng,elevation_m,water_source,slope_class,notes
NAN-001,แปลงตัวอย่าง 1,เมืองน่าน,ในเวียง,ข้าวโพดเลี้ยงสัตว์,8,18.783,100.778,210,น้ำฝน,ต่ำ,พื้นที่ต่ำใกล้เมือง ใช้ทดสอบพืชต่ำ-กลาง
NAN-002,แปลงตัวอย่าง 2,เมืองน่าน,บ่อ,พื้นที่ว่าง/เพิ่งถาง,5,18.812,100.801,230,น้ำฝน,ต่ำ,แปลงฟื้นฟูใกล้ชุมชน
NAN-003,แปลงตัวอย่าง 3,ปัว,ปัว,ข้าวโพดเลี้ยงสัตว์,12,19.179,100.907,420,น้ำฝน,กลาง,พื้นที่กลาง ใช้เปรียบเทียบไผ่/ลำไย/กล้วย
NAN-004,แปลงตัวอย่าง 4,ปัว,ศิลาแลง,ข้าวโพดเลี้ยงสัตว์,10,19.202,100.932,520,น้ำฝน,กลาง,มี slope ควรเน้นคลุมดิน
NAN-005,แปลงตัวอย่าง 5,ท่าวังผา,ท่าวังผา,ข้าวโพดเลี้ยงสัตว์,15,19.110,100.799,280,น้ำฝน,ต่ำ,ทดสอบ risk ใกล้ลำน้ำ
NAN-006,แปลงตัวอย่าง 6,ท่าวังผา,ริม,ข้าวไร่,7,19.082,100.826,340,น้ำฝน,กลาง,แปลงเปลี่ยนจากข้าวไร่
NAN-007,แปลงตัวอย่าง 7,เวียงสา,กลางเวียง,มันสำปะหลัง,9,18.566,100.745,200,น้ำฝน,ต่ำ,พื้นที่ร้อนต่ำ
NAN-008,แปลงตัวอย่าง 8,เวียงสา,ไหล่น่าน,ข้าวโพดเลี้ยงสัตว์,11,18.591,100.713,260,น้ำฝน,กลาง,แปลงเสี่ยงแล้ง
NAN-009,แปลงตัวอย่าง 9,นาน้อย,นาน้อย,ข้าวโพดเลี้ยงสัตว์,13,18.317,100.706,320,น้ำฝน,กลาง,พื้นที่เกษตรเชิงเดี่ยวเดิม
NAN-010,แปลงตัวอย่าง 10,นาน้อย,เชียงของ,พื้นที่ว่าง/เพิ่งถาง,6,18.349,100.743,390,น้ำฝน,สูง,ทดสอบ erosion/soil cover
NAN-011,แปลงตัวอย่าง 11,สันติสุข,ดู่พงษ์,ข้าวโพดเลี้ยงสัตว์,10,18.900,100.939,480,น้ำฝน,กลาง,พื้นที่กลางค่อนไปสูง
NAN-012,แปลงตัวอย่าง 12,สันติสุข,ป่าแลวหลวง,ข้าวโพดเลี้ยงสัตว์,14,18.935,100.968,590,น้ำฝน,สูง,ใกล้แนวป่า ควรตรวจ buffer
NAN-013,แปลงตัวอย่าง 13,บ่อเกลือ,บ่อเกลือใต้,ข้าวโพดเลี้ยงสัตว์,8,19.094,101.165,950,น้ำฝน,สูง,พื้นที่สูง ทดสอบกาแฟ/ชา/มะแขว่น
NAN-014,แปลงตัวอย่าง 14,บ่อเกลือ,ภูฟ้า,พื้นที่ว่าง/เพิ่งถาง,5,19.145,101.191,1100,น้ำฝน,สูง,พื้นที่สูงมาก ทดสอบแมคคาเดเมีย
